Id,Title,Databases,Year,Authors,Publication Type,Published In,Publisher,Address,Refs.,Cits.,Abstract,Keywords,PDF,URL,"Q1 [0, 3]","Q2 [0, 3]","Q3 [0, 3]","Q4 [0, 1]","Total [0, 10]",Backward Tracked,Forward Tracked
14,Automatic quality assessment of content created collaboratively by web communities: a case study of wikipedia,"ACM, Google Scholar, Web of Science",2009,Daniel Hasan Dalip; Marcos André Gonçalves; Marco Cristo; Pável Calado,Conference,"JCDL '09: ACM/IEEE Joint Conference on Digital Libraries, pp. 295-304",Association for Computing Machinery,"New York City, United States",32,150,"The old dream of a universal repository containing all the human knowledge and culture is becoming possible through the Internet and the Web. Moreover, this is happening with the direct collaborative, participation of people. Wikipedia is a great example. It is an enormous repository of information with free access and edition, created by the community in a collaborative manner. However, this large amount of information, made available democratically and virtually without any control, raises questions about its relative quality. In this work we explore a significant number of quality indicators, some of them proposed by us and used here for the first time, and study their capability to assess the quality of Wikipedia articles. Furthermore, we explore machine learning techniques to combine these quality indicators into one single assessment judgment. Through experiments, we show that the most important quality indicators are the easiest ones to extract, namely, textual features related to length, structure and style. We were also able to determine which indicators did not contribute significantly to the quality assessment. These were, coincidentally, the most complex features, such as those based on link analysis. Finally, we compare our combination method with state-of-the-art solution and show significant improvements in terms of effective quality prediction.",Quality Assessment; Wikipedia; Machine Learning; SVM,https://dl.acm.org/doi/pdf/10.1145/1555400.1555449,https://dl.acm.org/doi/10.1145/1555400.1555449,3,1,3,0,7,Yes,Yes
15,Learning to Predict the Quality of Contributions to Wikipedia,Google Scholar,2008,Gregory Druck; Gerome Miklau; Andrew McCallum,N/A,N/A,N/A,N/A,11,67,"Although some have argued that Wikipedia's open edit policy is one of the primary reasons for its success, it also raises concerns about quality --- vandalism, bias, and errors can be problems. Despite these challenges, Wikipedia articles are often (perhaps surprisingly) of high quality, which many attribute to both the dedicated Wikipedia community and ``good Samaritan"" users. As Wikipedia continues to grow, however, it becomes more difficult for these users to keep up with the increasing number of articles and edits. This motivates the development of tools to assist users in creating and maintaining quality. In this paper, we propose metrics that quantify the quality of contributions to Wikipedia through implicit feedback from the community. We then learn discriminative probabilistic models that predict the quality of a new edit using features of the changes made, the author of the edit, and the article being edited. Through estimating parameters for these models, we also gain an understanding of factors that influence quality. We advocate using edit quality predictions and information gleaned from model analysis not to place restrictions on editing, but to instead alert users to potential quality problems, and to facilitate the development of additional incentives for contributors. We evaluate the edit quality prediction models on the Spanish Wikipedia. Experiments demonstrate that the models perform better when given access to content-based features of the edit, rather than only features of contributing user. This suggests that a user-based solution to the Wikipedia quality problem may not be sufficient.",N/A,https://www.academia.edu/158338/Learning_to_Predict_the_Quality_of_Contributions_to_Wikipedia,https://maroo.cs.umass.edu/getpdf.php?id=834,1,0,1,1,3,No,No
16,Measuring Quality of Collaboratively Edited Documents: The Case of Wikipedia,"Google Scholar, Web of Science",2016,Quang-Vinh Dang; Claudia-Lavinia Ignat,Conference,"CIC '16: IEEE 2nd International Conference on Collaboration and Internet Computing, pp. 266-275",Institute of Electrical and Electronic Engineers,"New York City, United States",62,45,"Wikipedia is a great example of large scale collaboration, where people from all over the world together build the largest and maybe the most important human knowledge repository in the history. However, a number of studies showed that the quality of Wikipedia articles is not equally distributed. While many articles are of good quality, many others need to be improved. Assessing the quality of Wikipedia articles is very important for guiding readers towards articles of high quality and suggesting authors and reviewers which articles need to be improved. Due to the huge size of Wikipedia, an effective automatic assessment method to measure Wikipedia articles quality is needed. In this paper, we present an automatic assessment method of Wikipedia articles quality by analyzing their content in terms of their format features and readability scores. Our results show improvements both in terms of accuracy and information gain compared with other existing approaches.",N/A,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7809715,https://ieeexplore.ieee.org/document/7809715,3,3,2,0,8,Yes,Yes
17,Predicting quality flaws in user-generated content: the case of wikipedia,"ACM, Google Scholar, Web of Science",2012,Maik Anderka; Benno Stein; Nedim Lipka,Conference,"SIGIR '12: International ACM SIGIR Conference on Research and Development in Information Retrieval, pp. 981-990",Association for Computing Machinery,"New York City, United States",39,109,"The detection and improvement of low-quality information is a key concern in Web applications that are based on user-generated content; a popular example is the online encyclopedia Wikipedia. Existing research on quality assessment of user-generated content deals with the classification as to whether the content is high-quality or low-quality. This paper goes one step further: it targets the prediction of quality flaws, this way providing specific indications in which respects low-quality content needs improvement. The prediction is based on user-defined cleanup tags, which are commonly used in many Web applications to tag content that has some shortcomings. We apply this approach to the English Wikipedia, which is the largest and most popular user-generated knowledge source on the Web. We present an automatic mining approach to identify the existing cleanup tags, which provides us with a training corpus of labeled Wikipedia articles. We argue that common binary or multiclass classification approaches are ineffective for the prediction of quality flaws and hence cast quality flaw prediction as a one-class classification problem. We develop a quality flaw model and employ a dedicated machine learning approach to predict Wikipedia's most important quality flaws. Since in the Wikipedia setting the acquisition of significant test data is intricate, we analyze the effects of a biased sample selection. In this regard we illustrate the classifier effectiveness as a function of the flaw distribution in order to cope with the unknown (real-world) flaw-specific class imbalances. The flaw prediction performance is evaluated with 10,000 Wikipedia articles that have been tagged with the ten most frequent quality flaws: provided test data with little noise, four flaws can be detected with a precision close to 1.",User-generated Content Analysis; Information Quality; Wikipedia; Quality Flaw Prediction; One-class Classification,https://dl.acm.org/doi/pdf/10.1145/2348283.2348413,https://dl.acm.org/doi/10.1145/2348283.2348413,2,1,3,0,6,Yes,Yes
18,Quality and Importance of Wikipedia Articles in Different Languages,"Google Scholar, Web of Science",2016,Włodzimierz Lewoniewski; Krzysztof Węcel; Witold Abramowicz,Conference,"ICIST '16: International Conference on Information and Software Technologies, pp. 613-624",Springer,"Cham, Switzerland",23,36,"This article aims to analyse the importance of the Wikipedia articles in different languages (English, French, Russian, Polish) and the impact of the importance on the quality of articles. Based on the analysis of literature and our own experience we collected measures related to articles, specifying various aspects of quality that will be used to build the models of articles’ importance. For each language version, the influential parameters are selected that may allow automatic assessment of the validity of the article. Links between articles in different languages offer opportunities in terms of comparison and verification of the quality of information provided by various Wikipedia communities. Therefore, the model can be used not only for a relative assessment of the content of the whole article, but also for a relative assessment of the quality of data contained in their structural parts, the so-called infoboxes.",Wikipedia; DBpedia; Information quality; Data quality; WikiRank; Article importance,https://link.springer.com/content/pdf/10.1007/978-3-319-46254-7_50,https://link.springer.com/chapter/10.1007/978-3-319-46254-7_50,1,1,2,1,5,Yes,Yes
19,"A jury of your peers: quality, experience and ownership in Wikipedia","ACM, Google Scholar",2009,Aaron L. Halfaker; Aniket Kittur; Robert Kraut; John Riedl,Conference,"WikiSym '09: International Symposium on Wikis and Open Collaboration, no. 15, pp. 1-10",Association for Computing Machinery,"New York City, United States",23,127,"Wikipedia is a highly successful example of what mass collaboration in an informal peer review system can accomplish. In this paper, we examine the role that the quality of the contributions, the experience of the contributors and the ownership of the content play in the decisions over which contributions become part of Wikipedia and which ones are rejected by the community. We introduce and justify a versatile metric for automatically measuring the quality of a contribution. We find little evidence that experience helps contributors avoid rejection. In fact, as they gain experience, contributors are even more likely to have their work rejected. We also find strong evidence of ownership behaviors in practice despite the fact that ownership of content is discouraged within Wikipedia.",Wikipedia; Peer; Peer Review; WikiWork; Experience; Ownership; Quality,https://dl.acm.org/doi/pdf/10.1145/1641309.1641332,https://dl.acm.org/doi/10.1145/1641309.1641332,2,0,1,0,3,No,No
20,Automatically Assessing Wikipedia Article Quality by Exploiting Article-Editor Networks,Google Scholar,2015,Xinyi Li; Jintao Tang; Ting Wang; Zhunchen Luo; Maarten de Rijke,Conference,"ECIR '15: European Conference on Information Retrieval, pp. 574-580",Springer,"Cham, Switzerland",13,48,"We consider the problem of automatically assessing Wikipedia article quality. We develop several models to rank articles by using the editing relations between articles and editors. First, we create a basic model by modeling the article-editor network. Then we design measures of an editor’s contribution and build weighted models that improve the ranking performance. Finally, we use a combination of featured article information and the weighted models to obtain the best performance. We find that using manual evaluation to assist automatic evaluation is a viable solution for the article quality assessment task on Wikipedia",N/A,https://link.springer.com/content/pdf/10.1007/978-3-319-16354-3_64,https://link.springer.com/chapter/10.1007/978-3-319-16354-3_64,2,0,1,0,3,No,No
22,Interpolating Quality Dynamics in Wikipedia and Demonstrating the Keilana Effect,"ACM, Google Scholar",2017,Aaron L. Halfaker,Conference,"OpenSym '17: International Symposium on Open Collaboration, no. 19, pp. 1-9",Association for Computing Machinery,"New York City, United States",22,37,"For open, volunteer generated content like Wikipedia, quality is a prominent concern. To measure Wikipedia's quality, researchers have historically relied on expert evaluation or assessments of article quality by Wikipedians themselves. While both of these methods have proven effective for answering many questions about Wikipedia's quality and processes, they are both problematic: expert evaluation is expensive and Wikipedian quality assessments are sporadic and unpredictable. Studies that explore Wikipedia's quality level or the processes that result in quality improvements have only examined small snapshots of Wikipedia and often rely on complex propensity models to deal with the unpredictable nature of Wikipedians' own assessments. In this paper, I describe a method for measuring article quality in Wikipedia historically and at a finer granularity than was previously possible. I use this method to demonstrate an important coverage dynamic in Wikipedia (specifically, articles about women scientists) and offer this method, dataset, and open API to the research community studying Wikipedia quality dynamics.",Wikipedia; Quality; Modeling; Predictive; Interpolation; Methods; Dataset,https://dl.acm.org/doi/pdf/10.1145/3125433.3125475,https://dl.acm.org/doi/10.1145/3125433.3125475,1,1,1,0,3,No,No
23,An end-to-end learning solution for assessing the quality of Wikipedia articles,"ACM, Google Scholar",2017,Quang-Vinh Dang; Claudia-Lavinia Ignat,Conference,"OpenSym '17: International Symposium on Open Collaboration, no. 4, pp. 1-10",Association for Computing Machinery,"New York City, United States",61,39,"Wikipedia is considered as the largest knowledge repository in the history of humanity and plays a crucial role in modern daily life. Assigning the correct quality class to Wikipedia articles is an important task in order to provide guidance for both authors and readers of Wikipedia. The manual review cannot cope with the editing speed of Wikipedia. An automatic classification is required to classify the quality of Wikipedia articles. Most existing approaches rely on traditional machine learning with manual feature engineering, which requires a lot of expertise and effort. Furthermore, it is known that there is no general perfect feature set because information leak always occurs in feature extraction phase. Also, for each language of Wikipedia, a new feature set is required. In this paper, we present an approach relying on deep learning for quality classification of Wikipedia articles. Our solution relies on Recurrent Neural Networks (RNN) which is an end-to-end learning technique that eliminates disadvantages of feature engineering. Our approach learns directly from raw data without human intervention and is language-neutral. Experimental results on English, French and Russian Wikipedia datasets show that our approach outperforms state-of-the-art solutions.",Wikipedia; document quality; deep learning; end-to-end learning; Recurrent Neural Network (RNN); Long-Short Term Memory (LSTM),https://dl.acm.org/doi/pdf/10.1145/3125433.3125448,https://dl.acm.org/doi/10.1145/3125433.3125448,3,1,0,1,5,Yes,Yes
24,Quality assessment of Wikipedia articles without feature engineering,"ACM, Google Scholar, Web of Science",2016,Quang-Vinh Dang; Claudia-Lavinia Ignat,Conference,"JCDL '16: ACM/IEEE Joint Conference on Digital Libraries, pp. 27-30",Association for Computing Machinery,"New York City, United States",22,64,"As Wikipedia became the largest human knowledge repository, quality measurement of its articles received a lot of attention during the last decade. Most research efforts focused on classification of Wikipedia articles quality by using a different feature set. However, so far, no “golden feature set” was proposed. In this paper, we present a novel approach for classifying Wikipedia articles by analysing their content rather than by considering a feature set. Our approach uses recent techniques in natural language processing and deep learning, and achieved a comparable result with the state-of-the-art.",quality assessment; Wikipedia; feature engineering; document representation; deep learning,https://dl.acm.org/doi/pdf/10.1145/2910896.2910917,https://dl.acm.org/doi/10.1145/2910896.2910917,2,1,0,0,3,No,No
25,Relating Wikipedia article quality to edit behavior and link structure,"Google Scholar, Web of Science",2020,Thorsten Ruprechter; Tiago Santos; Denis Helic,Journal,"Applied Network Science, vol. 5(61)",N/A,N/A,55,14,"Currently, the relation between edit behavior, link structure, and article quality is not well-understood in our community, notwithstanding that this relationship may facilitate editing processes and content quality on Wikipedia. To shed light on this complex relation, we classify article edits and perform an in-depth analysis of editing sequences for 4941 articles. Additionally, we build a network of internal Wikipedia hyperlinks between articles. Using this data, we compute parsimonious metrics to quantify editing and linking behavior. Our analysis unveils that conflicted articles differ substantially from others in almost all metrics, while we also detect slight trends for high-quality articles. With our network analysis we find evidence indicating that controversial and edit war articles frequently span structural holes in the Wikipedia network. Finally, in a prediction experiment we demonstrate the usefulness of edit behavior patterns and network properties in predicting conflict and article quality. With our work, we assist online collaboration communities, especially Wikipedia, in long-term improvement of content quality by offering valuable insights about the interplay of article quality, controversies and edit wars, editing behavior, and network properties via sequence-based edit and network-based article metrics.",Wikipedia; Edit behavior; Link structure; Article quality; Edit wars; Controversy; Conflict; Semantic edit types,https://link.springer.com/content/pdf/10.1007/s41109-020-00305-y.pdf,https://appliednetsci.springeropen.com/articles/10.1007/s41109-020-00305-y,1,1,1,0,3,No,No
26,Assessing the quality of information on wikipedia: A deep‐learning approach,"ACM, Google Scholar, Web of Science",2020,Ping Wang; Xiaodan Li,Journal,"Journal of the Association for Information Science and Technology, vol. 71(1), pp. 16-28",N/A,N/A,65,32,"Currently, web document repositories have been collaboratively created and edited. One of these repositories, Wikipedia, is facing an important problem: assessing the quality of Wikipedia. Existing approaches exploit techniques such as statistical models or machine leaning algorithms to assess Wikipedia article quality. However, existing models do not provide satisfactory results. Furthermore, these models fail to adopt a comprehensive feature framework. In this article, we conduct an extensive survey of previous studies and summarize a comprehensive feature framework, including text statistics, writing style, readability, article structure, network, and editing history. Selected state‐of‐the‐art deep‐learning models, including the convolutional neural network (CNN), deep neural network (DNN), long short‐term memory (LSTMs) network, CNN‐LSTMs, bidirectional LSTMs, and stacked LSTMs, are applied to assess the quality of Wikipedia. A detailed comparison of deep‐learning models is conducted with regard to different aspects: classification performance and training performance. We include an importance analysis of different features and feature sets to determine which features or feature sets are most effective in distinguishing Wikipedia article quality. This extensive experiment validates the effectiveness of the proposed model.",N/A,https://www.researchgate.net/publication/332294515_Assessing_the_quality_of_information_on_wikipedia_A_deep-learning_approach,https://asistdl.onlinelibrary.wiley.com/doi/10.1002/asi.24210,3,3,3,0,9,Yes,Yes
29,Using big data and network analysis to understand Wikipedia article quality,"Google Scholar, Web of Science",2018,Jun Liu; Sudha Ram,Journal,"Data & Knowledge Engineering, vol. 115, pp. 80-93",N/A,N/A,77,31,"The research reported in this paper focuses on the question of why Wikipedia articles are different in quality. Since these articles are developed in an open and social environment, our work investigates if the social capital of contributors plays a role in determining the quality of the articles. We focus on three major types of social capital with respect to teams of contributors working on Wikipedia articles: internal bonding, external bridging and functional diversity. Through a social network analysis of these articles based on a dataset extracted from its edit history, our research finds that all three types of social capital have a significant impact on their quality. In addition, we found that internal bonding interacts positively with external bridging resulting in a multiplier effect on article quality. The findings of our research have implications for developing automated techniques for quality assessment of Wikipedia and also provide insights into improving quality of these articles.",N/A,https://reader.elsevier.com/reader/sd/pii/S0169023X18300685?token=B44D54CF3D38230135AED9524BFFD22BFC9DE31B669C688D97EFE423C332436013F0D154796D42F839540C722AC80208&originRegion=eu-west-1&originCreation=20230130105258,https://www.sciencedirect.com/science/article/pii/S0169023X18300685?via%3Dihub,2,0,1,0,3,No,No
30,Measuring article quality in Wikipedia: Lexical clue model,Google Scholar,2011,Yanxiang Xu; Tiejian Luo,Conference,"SWS '11: Symposium on Web Society, pp. 141-146",Institute of Electrical and Electronic Engineers,"New York City, United States",24,43,"Wikipedia is the most entry-abundant on-line encyclopedia. Some studies published by Nature proved that the scientific entries in Wikipedia are of good quality comparable to those in the Encyclopedia Britannica which are mainly maintained by experts. But the manual partition of the articles in Wikipedia from a WikiProject implies that high-quality articles are usually reached grade by grade via being repeatedly revised. So many work address to automatically measuring the article quality in Wikipedia based on some assumption of the relationship between the article quality and contributors' reputations, view behaviors, article status, inter-article link, or so on. In this paper, a lexical clue based measuring method is proposed to assess article quality in Wikipedia. The method is inspired the idea that the good articles have more regular statistic features on lexical usage than the primary ones due to the more revise by more people. We select 8 lexical features derived from the statistic on word usages in articles as the factors that can reflect article quality in Wikipedia. A decision tree is trained based on the lexical clue model. Using the decision tree, our experiments on a well-labeled collection of 200 Wikipedia articles shows that our method has more than 83% precise and recall.",Wikipedia; article quality; lexical clue; decision tree,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6101286,https://ieeexplore.ieee.org/document/6101286,2,1,1,0,4,Yes,Yes
31,A Hybrid Model for Quality Assessment of Wikipedia Articles,Google Scholar,2017,Aili Shen; Jianzhong Qi; Timothy Baldwin,Conference,"ALTA '17: Australasian Language Technology Association Workshop, pp. 43-52",ACL Anthology,Online,45,33,"The task of document quality assessment is a highly complex one, which draws on analysis of aspects including linguistic content, document structure, fact correctness, and community norms. We explore the task in the context of a Wikipedia article assessment task, and propose a hybrid approach combining deep learning with features proposed in the literature. Our method achieves 6.5% higher accuracy than the state of the art in predicting the quality classes of English Wikipedia articles over a novel dataset of around 60k Wikipedia articles. We also discuss limitations with this task setup, and possible directions for establishing more robust document quality assessment evaluations.",N/A,https://aclanthology.org/U17-1005.pdf,https://aclanthology.org/U17-1005/,3,1,2,0,6,Yes,Yes
32,Measuring article quality in Wikipedia using the collaboration network,"ACM, Google Scholar, Web of Science",2015,Baptiste de La Robertie; Yoann Pitarch; Olivier Teste,Conference,"ASONAM '15: IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, pp. 464-471",Association for Computing Machinery,"New York City, United States",15,42,"Collaboratively edited articles such as in Wikipedia suffer from well-identified problems regarding their quality, e.g., information accuracy, reputability of third-party sources, vandalism. Due to the huge number of articles and the intensive edit rate, the manual evaluation of article content quality is inconceivable. In this paper, we tackle the problem of automatically establishing the quality of Wikipedia articles. Evidences are shown to consider the interactions between authors and articles to assess the quality score. Collaborations between authors and reviewers are also considered to reinforce the discriminative process. This work gives a generic formulation of the Mutual Reinforcement principle held between articles quality and authors authority and take explicitly advantage of the co-edits graph generated by individuals. Experiments conducted on a set of representative data from Wikipedia show the effectiveness of our approach.",N/A,https://dl.acm.org/doi/pdf/10.1145/2808797.2808895,https://dl.acm.org/doi/10.1145/2808797.2808895,2,0,1,0,3,No,No
