id,databases,title,abstract,authors,year,publication_type,published_in,num_references,num_citations,url,doi,pdf
11,"ACM, Google Scholar",Statistical measure of quality in Wikipedia,"Wikipedia is commonly viewed as the main online encyclopedia. Its content quality, however, has often been questioned due to the open nature of its editing model. A high--quality contribution by an expert may be followed by a low-quality contribution made by an amateur or a vandal; therefore the quality of each article may fluctuate over time as it goes through iterations of edits by different users. With the increasing use of Wikipedia, the need for a reliable assessment of the quality of the content is also rising. In this study, we model the evolution of content quality in Wikipedia articles in order to estimate the fraction of time during which articles retain high-quality status. To evaluate the model, we assess the quality of Wikipedia's featured and non-featured articles. We show how the model reproduces consistent results with what is expected. As a case study, we use the model in a CalSWIM mashup the content of which is taken from both highly reliable sources and Wikipedia, which may be less so. Integrating CalSWIM with a trust management system enables it to use not only recency but also quality as its criteria, and thus filter out vandalized or poor-quality content.",S. Javanmardi; C. Lopes,2010,Conference,N/A,26,51,https://www.semanticscholar.org/paper/54333cd5b3f6d0148f0af632455faafb8dce7567,10.1145/1964858.1964876,
12,Google Scholar,Information quality discussions in wikipedia,"We examine the Information Quality aspects of Wikipedia. By a study of the discussion pages and other process-oriented pages within the Wikipedia project, it is possible to determine the information quality dimensions that participants in the editing process care about, how they talk about them, what tradeoffs they make between these dimensions and how the quality assessment and improvement process operates. This analysis helps in understanding how high quality is maintained in a project where anyone may participate with no prior vetting. It also carries implications for improving the quality of more conventional datasets.",Besiki Stvilia; M. Twidale; L. Gasser; Linda C. Smith,2005,Journal,N/A,44,91,https://www.semanticscholar.org/paper/ebe949e01d044a25daa0e6cabb3091cc319d361f,,
13,"ACM, Google Scholar",Tell me more: an actionable quality model for Wikipedia,"In this paper we address the problem of developing actionable quality models for Wikipedia, models whose features directly suggest strategies for improving the quality of a given article. We first survey the literature in order to understand the notion of article quality in the context of Wikipedia and existing approaches to automatically assess article quality. We then develop classification models with varying combinations of more or less actionable features, and find that a model that only contains clearly actionable features delivers solid performance. Lastly we discuss the implications of these results in terms of how they can help improve the quality of articles across Wikipedia.",Morten Warncke-Wang; D. Cosley; J. Riedl,2013,Conference,Proceedings of the 9th International Symposium on Open Collaboration,41,110,https://www.semanticscholar.org/paper/00f5c7311b9ecc2d91cb3ab7cac6bb6acec28580,10.1145/2491055.2491063,
14,"ACM, Google Scholar, Web of Science",Automatic quality assessment of content created collaboratively by web communities: a case study of wikipedia,"The old dream of a universal repository containing all the human knowledge and culture is becoming possible through the Internet and the Web. Moreover, this is happening with the direct collaborative, participation of people. Wikipedia is a great example. It is an enormous repository of information with free access and edition, created by the community in a collaborative manner. However, this large amount of information, made available democratically and virtually without any control, raises questions about its relative quality. In this work we explore a significant number of quality indicators, some of them proposed by us and used here for the first time, and study their capability to assess the quality of Wikipedia articles. Furthermore, we explore machine learning techniques to combine these quality indicators into one single assessment judgment. Through experiments, we show that the most important quality indicators are the easiest ones to extract, namely, textual features related to length, structure and style. We were also able to determine which indicators did not contribute significantly to the quality assessment. These were, coincidentally, the most complex features, such as those based on link analysis. Finally, we compare our combination method with state-of-the-art solution and show significant improvements in terms of effective quality prediction.",D. H. Dalip; Marcos André Gonçalves; Marco Cristo; P. Calado,2009,Conference,"ACM/IEEE Joint Conference on Digital Libraries, pp. 295-304",31,125,https://www.semanticscholar.org/paper/412e1cf936f9a0aa4b289f14136174232e8f4e38,10.1145/1555400.1555449,
15,Google Scholar,Learning to Predict the Quality of Contributions to Wikipedia,"Although some have argued that Wikipedia’s open edit policy is one of the primary reasons for its success, it also raises concerns about quality — vandalism, bias, and errors can be problems. Despite these challenges, Wikipedia articles are often (perhaps surprisingly) of high quality, which many attribute to both the dedicatedWikipedia community and “good Samaritan” users. As Wikipedia continues to grow, however, it becomes more difficult for these users to keep up with the increasing number of articles and edits. This motivates the development of tools to assist users in creating and maintaining quality. In this paper, we propose metrics that quantify the quality of contributions to Wikipedia through implicit feedback from the community. We then learn discriminative probabilistic models that predict the quality of a new edit using features of the changes made, the author of the edit, and the article being edited. Through estimating parameters for these models, we also gain an understanding of factors that influence quality. We advocate using edit quality predictions and information gleaned from model analysis not to place restrictions on editing, but to instead alert users to potential quality problems, and to facilitate the development of additional incentives for contributors. We evaluate the edit quality prediction models on the Spanish Wikipedia. Experiments demonstrate that the models perform better when given access to content-based features of the edit, rather than only features of contributing user. This suggests that a user-based solution to the Wikipedia quality problem may not be sufficient. Introduction and Motivation Collaborative content generation systems such as Wikipedia are promising because they facilitate the integration of information from many disparate sources. Wikipedia is remarkable because anyone can edit an article. Some argue that this open edit policy is one of the key reasons for its success (Roth 2007; Riehle 2006). However, this openness does raise concerns about quality — vandalism, bias, and errors can be problems (Denning et al. 2005; Riehle 2006; Kittur et al. 2007). Despite the challenges associated with an open edit policy, Wikipedia articles are often of high quality (Giles 2005). Many suggest that this is a result of dedicated users that make many edits, monitor articles for changes, and engage Copyright c © 2008, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved. in debates on article discussion pages. These users are sometimes referred to as “zealots” (Anthony, Smith, and Williamson 2007), and studies claim that they are motivated by a system of peer recognition that bears resemblance to the academic community (Forte and Bruckman 2005). However, the contributions of “good Samaritan” users, who edit articles but have no desire to participate in the community, cannot not be underestimated (Anthony, Smith, and Williamson 2007). As Wikipedia continues to grow, however, it becomes more difficult for these users to keep up with the increasing number of articles and edits. Zealots comprise a relatively small portion of all Wikipedia users. Good Samaritan users are not likely to seek out errors, but instead rely on stumbling upon them. It is interesting to consider whether aiding users in detecting and focusing effort on quality problems could improve Wikipedia. In this paper, we examine the problem of estimating the quality of a new edit. Immediately, we face the problem of defining edit quality. It has been argued that there is no general definition of information quality, and hence quality must be defined using empirical observations of community interactions (Stvilia et al. 2008). Therefore, we define quality using implicit feedback from the Wikipedia community itself. That is, by observing the community’s response to a particular edit, we can estimate the edit’s quality. The quality metrics we propose are based on the assumption that edits to an article that are retained in subsequent versions of the article are of high quality, whereas edits that are quickly removed are of low quality. We use these community-defined measures of edit quality to learn statistical models that can predict the quality of a new edit. Quality is predicted using features of the edit itself, the author of the edit, and the article being edited. Through learning to predict quality, we also learn about factors that influence quality. Specifically, we provide analysis of model parameters to determine which features are the most useful for predicting quality. We advocate using edit quality predictions and information gleaned from model analysis not to place restrictions on editing, but to assist users in improving quality. That is, we aim to maintain a low barrier to participation, as those users not interested in the Wikipedia community can still be valuable contributors (Anthony, Smith, and Williamson 2007). Restrictions might also discourage new users, and drive away users who were drawn to the idea of a openly editable encyclopedia. Consequently, we suggest that the quality models be used to help users focus on predicted quality problems or to encourage participation. We evaluate the edit quality prediction models and provide analysis using the Spanish Wikipedia. Experiments demonstrate that the models attain better results when given access to content-based features, in addition to features of the contributing user. This suggests that a user-based solution to the Wikipedia quality problem may not be sufficient. Although we focus on Wikipedia in this paper, we think of this as an instance of a new problem: automatically predicting the quality of contributions in a collaborative environment.",Gregory Druck; G. Miklau; A. McCallum,2008,Journal,N/A,11,52,https://www.semanticscholar.org/paper/029c4971f7edd68c667baf15de392dbf104072f7,,
16,"Google Scholar, Web of Science",Measuring Quality of Collaboratively Edited Documents: The Case of Wikipedia,"Wikipedia is a great example of large scale collaboration, where people from all over the world together build the largest and maybe the most important human knowledge repository in the history. However, a number of studies showed that the quality of Wikipedia articles is not equally distributed. While many articles are of good quality, many others need to be improved. Assessing the quality of Wikipedia articles is very important for guiding readers towards articles of high quality and suggesting authors and reviewers which articles need to be improved. Due to the huge size of Wikipedia, an effective automatic assessment method to measure Wikipedia articles quality is needed. In this paper, we present an automatic assessment method of Wikipedia articles quality by analyzing their content in terms of their format features and readability scores. Our results show improvements both in terms of accuracy and information gain compared with other existing approaches.",Quang-Vinh Dang; C. Ignat,2016,Conference,"2016 IEEE 2nd International Conference on Collaboration and Internet Computing (CIC), pp. 266-275",69,32,https://www.semanticscholar.org/paper/31f226174f2da4ceca288b93769371c388d6c4fb,10.1109/CIC.2016.044,https://hal.archives-ouvertes.fr/hal-01388614/file/CIC2016.pdf
17,"ACM, Google Scholar, Web of Science",Predicting quality flaws in user-generated content: the case of wikipedia,"The detection and improvement of low-quality information is a key concern in Web applications that are based on user-generated content; a popular example is the online encyclopedia Wikipedia. Existing research on quality assessment of user-generated content deals with the classification as to whether the content is high-quality or low-quality. This paper goes one step further: it targets the prediction of quality flaws, this way providing specific indications in which respects low-quality content needs improvement. The prediction is based on user-defined cleanup tags, which are commonly used in many Web applications to tag content that has some shortcomings. We apply this approach to the English Wikipedia, which is the largest and most popular user-generated knowledge source on the Web. We present an automatic mining approach to identify the existing cleanup tags, which provides us with a training corpus of labeled Wikipedia articles. We argue that common binary or multiclass classification approaches are ineffective for the prediction of quality flaws and hence cast quality flaw prediction as a one-class classification problem. We develop a quality flaw model and employ a dedicated machine learning approach to predict Wikipedia's most important quality flaws. Since in the Wikipedia setting the acquisition of significant test data is intricate, we analyze the effects of a biased sample selection. In this regard we illustrate the classifier effectiveness as a function of the flaw distribution in order to cope with the unknown (real-world) flaw-specific class imbalances. The flaw prediction performance is evaluated with 10,000 Wikipedia articles that have been tagged with the ten most frequent quality flaws: provided test data with little noise, four flaws can be detected with a precision close to 1.",Maik Anderka; Benno Stein; Nedim Lipka,2012,Conference,"Annual International ACM SIGIR Conference on Research and Development in Information Retrieval, pp. 981-990",159,96,https://www.semanticscholar.org/paper/ab675867bf0d77b8d6c6b5b7dc2b00075ad422c4,10.1145/2348283.2348413,
18,"Google Scholar, Web of Science",Quality and Importance of Wikipedia Articles in Different Languages,,Włodzimierz Lewoniewski; Krzysztof Węcel; W. Abramowicz,2016,Conference,"International Conference on Information and Software Technologies, pp. 613-624",23,26,https://www.semanticscholar.org/paper/dd5a0bd3b918f4bc43568d461e60345fdeb55f21,10.1007/978-3-319-46254-7_50,
19,"ACM, Google Scholar","A jury of your peers: quality, experience and ownership in Wikipedia","Wikipedia is a highly successful example of what mass collaboration in an informal peer review system can accomplish. In this paper, we examine the role that the quality of the contributions, the experience of the contributors and the ownership of the content play in the decisions over which contributions become part of Wikipedia and which ones are rejected by the community. We introduce and justify a versatile metric for automatically measuring the quality of a contribution. We find little evidence that experience helps contributors avoid rejection. In fact, as they gain experience, contributors are even more likely to have their work rejected. We also find strong evidence of ownership behaviors in practice despite the fact that ownership of content is discouraged within Wikipedia.",Aaron L Halfaker; A. Kittur; R. Kraut; J. Riedl,2009,Journal,N/A,24,104,https://www.semanticscholar.org/paper/b91411b9d80525ed6fa61ab01f2a1c5459fbd05d,10.1145/1641309.1641332,
20,Google Scholar,Automatically Assessing Wikipedia Article Quality by Exploiting Article-Editor Networks,,Xinyi Li; Jintao Tang; Ting Wang; Zhunchen Luo; M. de Rijke,2015,Conference,"European Conference on Information Retrieval, pp. 574-580",16,37,https://www.semanticscholar.org/paper/f99a7a7ceca5bfe2e1c8c4d0ea5b67203dbc4f34,10.1007/978-3-319-16354-3_64,https://ilps.science.uva.nl/wp-content/uploads/sites/8/2015/11/DIR2015-proceedings.pdf
21,"ACM, Google Scholar, Web of Science",Information Quality in Wikipedia: The Effects of Group Composition and Task Conflict,"The success of Wikipedia demonstrates that self-organizing production communities can produce high-quality information-based products. Research on Wikipedia has proceeded largely atheoretically, focusing on (1) the diversity in members' knowledge bases as a determinant of Wikipedia's content quality, (2) the task-related conflicts that occur during the collaborative authoring process, and (3) the different roles members play in Wikipedia. We develop a theoretical model that explains how these three factors interact to determine the quality of Wikipedia articles. The results from the empirical study of 96 Wikipedia articles suggest that (1) diversity should be encouraged, as the creative abrasion that is generated when cognitively diverse members engage in task-related conflict leads to higher-quality articles, (2) task conflict should be managed, as conflict—notwithstanding its contribution to creative abrasion—can negatively affect group output, and (3) groups should maintain a balance of both administrative- and content-oriented members, as both contribute to the collaborative process.",Ofer Arazy; O. Nov; Raymond A. Patterson; M. Yeo,2011,Journal,"Journal of Management Information Systems, 27, pp. 71 - 98",117,204,https://www.semanticscholar.org/paper/26450adc2040f7f7d2ed7366bbe90d5091dbd3a1,10.2753/MIS0742-1222270403,
22,"ACM, Google Scholar",Interpolating Quality Dynamics in Wikipedia and Demonstrating the Keilana Effect,"For open, volunteer generated content like Wikipedia, quality is a prominent concern. To measure Wikipedia's quality, researchers have historically relied on expert evaluation or assessments of article quality by Wikipedians themselves. While both of these methods have proven effective for answering many questions about Wikipedia's quality and processes, they are both problematic: expert evaluation is expensive and Wikipedian quality assessments are sporadic and unpredictable. Studies that explore Wikipedia's quality level or the processes that result in quality improvements have only examined small snapshots of Wikipedia and often rely on complex propensity models to deal with the unpredictable nature of Wikipedians' own assessments. In this paper, I describe a method for measuring article quality in Wikipedia historically and at a finer granularity than was previously possible. I use this method to demonstrate an important coverage dynamic in Wikipedia (specifically, articles about women scientists) and offer this method, dataset, and open API to the research community studying Wikipedia quality dynamics.",Aaron L Halfaker,2017,Conference,Proceedings of the 13th International Symposium on Open Collaboration,21,32,https://www.semanticscholar.org/paper/1324bad076e1706e6b95144b738c7ae15cf4bb6e,10.1145/3125433.3125475,http://dl.acm.org/ft_gateway.cfm?id=3125475&type=pdf
23,"ACM, Google Scholar",An end-to-end learning solution for assessing the quality of Wikipedia articles,"Wikipedia is considered as the largest knowledge repository in the history of humanity and plays a crucial role in modern daily life. Assigning the correct quality class to Wikipedia articles is an important task in order to provide guidance for both authors and readers of Wikipedia. The manual review cannot cope with the editing speed of Wikipedia. An automatic classification is required to classify the quality of Wikipedia articles. Most existing approaches rely on traditional machine learning with manual feature engineering, which requires a lot of expertise and effort. Furthermore, it is known that there is no general perfect feature set because information leak always occurs in feature extraction phase. Also, for each language of Wikipedia, a new feature set is required. In this paper, we present an approach relying on deep learning for quality classification of Wikipedia articles. Our solution relies on Recurrent Neural Networks (RNN) which is an end-to-end learning technique that eliminates disadvantages of feature engineering. Our approach learns directly from raw data without human intervention and is language-neutral. Experimental results on English, French and Russian Wikipedia datasets show that our approach outperforms state-of-the-art solutions.",Quang-Vinh Dang; C. Ignat,2017,Conference,Proceedings of the 13th International Symposium on Open Collaboration,60,28,https://www.semanticscholar.org/paper/4244e4b33e00bc221f9e5fd78adde241ee499cc5,10.1145/3125433.3125448,https://hal.inria.fr/hal-01559693/file/OpenSym2017%20%281%29.pdf
24,"ACM, Google Scholar, Web of Science",Quality assessment of Wikipedia articles without feature engineering,"As Wikipedia became the largest human knowledge repository, quality measurement of its articles received a lot of attention during the last decade. Most research efforts focused on classification of Wikipedia articles quality by using a different feature set. However, so far, no “golden feature set” was proposed. In this paper, we present a novel approach for classifying Wikipedia articles by analysing their content rather than by considering a feature set. Our approach uses recent techniques in natural language processing and deep learning, and achieved a comparable result with the state-of-the-art.",Quang-Vinh Dang; C. Ignat,2016,Conference,"2016 IEEE/ACM Joint Conference on Digital Libraries (JCDL), pp. 27-30",25,54,https://www.semanticscholar.org/paper/425064f6236d6457344d45c3517097936d42aea3,10.1145/2910896.2910917,https://hal.inria.fr/hal-01351226/file/JCDL2016.pdf
25,"Google Scholar, Web of Science",Relating Wikipedia article quality to edit behavior and link structure,,Thorsten Ruprechter; Tiago Santos; D. Helic,2020,Journal,"Applied Network Science, 5, pp. 1-20",61,8,https://www.semanticscholar.org/paper/d2742c2e19966865ab0db00fa515c79678eec9dd,10.1007/s41109-020-00305-y,
26,"ACM, Google Scholar, Web of Science",Assessing the quality of information on wikipedia: A deep‐learning approach,"Currently, web document repositories have been collaboratively created and edited. One of these repositories, Wikipedia, is facing an important problem: assessing the quality of Wikipedia. Existing approaches exploit techniques such as statistical models or machine leaning algorithms to assess Wikipedia article quality. However, existing models do not provide satisfactory results. Furthermore, these models fail to adopt a comprehensive feature framework. In this article, we conduct an extensive survey of previous studies and summarize a comprehensive feature framework, including text statistics, writing style, readability, article structure, network, and editing history. Selected state‐of‐the‐art deep‐learning models, including the convolutional neural network (CNN), deep neural network (DNN), long short‐term memory (LSTMs) network, CNN‐LSTMs, bidirectional LSTMs, and stacked LSTMs, are applied to assess the quality of Wikipedia. A detailed comparison of deep‐learning models is conducted with regard to different aspects: classification performance and training performance. We include an importance analysis of different features and feature sets to determine which features or feature sets are most effective in distinguishing Wikipedia article quality. This extensive experiment validates the effectiveness of the proposed model.",Ping Wang; Xiaodan Li,2020,Journal,"Journal of the Association for Information Science and Technology, 71",73,18,https://www.semanticscholar.org/paper/32c2952ea7128c0ed674548158c3e9d1e4ba3a13,10.1002/asi.24210,
27,Google Scholar,Automatically Assessing the Quality of Wikipedia Articles,"Since its inception in 2001, Wikipedia has fast become one of the Internet's most dominant sources of information. Dubbed ""the free encyclopedia"", Wikipedia contains millions of articles that are written, edited, and maintained by volunteers. Due in part to the open, collaborative process by which content is generated, many have questioned the reliability of these articles. The high variance in quality between articles is a potential source of confusion that likely leaves many visitors unable to distinguish between good articles and bad. In this work, we describe how a very simple metric – word count – can be used to as a proxy for article quality, and discuss the implications of this result for Wikipedia in particular, and quality assessment in general.",J. Blumenstock,2008,Journal,N/A,9,33,https://www.semanticscholar.org/paper/2ba510e022be06fa03dae878c5d9193bccef2cb5,,
28,"ACM, Google Scholar, Web of Science",Information quality assessment of community generated content: A user study of Wikipedia,"This study examines the ways in which information consumers evaluate the quality of content in a collaborative-writing environment, in this case Wikipedia. Sixty-four users were asked to assess the quality of five articles from the Hebrew Wikipedia, to indicate the highest- and lowest-quality article of the five and explain their choices. Participants viewed both the article page, and the article’s history page, so that their decision was based both on the article’s current content and on its development. The analysis shows that the attributes that most frequently assisted the users in deciding about the quality of the items were not unique to Wikipedia: attributes such as amount of information, satisfaction with content and external links were mentioned frequently, as with other information quality studies on the web. The findings also support the claim that quality is a subjective concept which depends on the user’s unique point of view. Attributes such as number of edits and number of unique editors received two contradictory meanings – both few edits/editors and many edits/editors were mentioned as attributes of high-quality articles.",Eti Yaari; Shifra Baruchson-Arbib; J. Bar-Ilan,2011,Journal,"Journal of Information Science, 37, pp. 487 - 498",32,78,https://www.semanticscholar.org/paper/4c43a063f1cd5cd888f526543be6160ecd0de9a9,10.1177/0165551511416065,
29,"Google Scholar, Web of Science",Using big data and network analysis to understand Wikipedia article quality,,Jun Liu; S. Ram,2018,Journal,"Data Knowl. Eng., 115, pp. 80-93",71,23,https://www.semanticscholar.org/paper/72ccb62a36d13a4563db9a926db72a6a57fe21fd,10.1016/J.DATAK.2018.02.004,
