Id,Title,URL,PDF,Features/Metrics,ML,Exclusion,Include,Notes,Keywords,Type,Feature List,ML,Algorithms,Results,Dataset Size,# Classes,Nmaj,Nmin,IR,Languages,Reproducibility,Other
11,Statistical measure of quality in Wikipedia,https://dl.acm.org/doi/10.1145/1964858.1964876,https://dl.acm.org/doi/pdf/10.1145/1964858.1964876,Yes,No,,Yes,"abstract excluido. Se vamos incluir o 32, acho que temos de incluir este.","Wikipedia, Wiki, Crowdsourcing, Web 2.0",,complex metric,,,,,,,,,,,
12,Information quality discussions in wikipedia,https://www.researchgate.net/publication/200773232_Information_Quality_Discussions_in_Wikipedia,https://myweb.fsu.edu/bstvilia/papers/qualWiki.pdf,,,Focus,No,,N/A,,,,,,,,,,,,,
13,Tell me more: an actionable quality model for Wikipedia,https://dl.acm.org/doi/10.1145/2491055.2491063,https://dl.acm.org/doi/pdf/10.1145/2491055.2491063,Yes,Yes,,Yes,"revisor 3. abstract excluído. honestamente não sei pq foi excluído, parece muito relacionado.","Wikipedia, Information Quality, Modelling, Classification, Flaw Detection, Machine Learning",,Section 2,,,,,,,,,,,
14,Automatic quality assessment of content created collaboratively by web communities: a case study of wikipedia,https://dl.acm.org/doi/10.1145/1555400.1555449,https://dl.acm.org/doi/pdf/10.1145/1555400.1555449,Yes,Yes,,Yes,incluido no artigo,"Quality Assessment, Wikipedia, Machine Learning, SVM",,,,,,,,,,,,,
15,Learning to Predict the Quality of Contributions to Wikipedia,https://www.aaai.org/Library/Workshops/2008/ws08-15-002.php,https://www.aaai.org/Papers/Workshops/2008/WS-08-15/WS08-15-002.pdf,Yes,Yes,,Yes,incluido no artigo,N/A,,,,,,50000,,,,,Spanish,,Dataset is of wiki 2007
16,Measuring Quality of Collaboratively Edited Documents: The Case of Wikipedia,https://ieeexplore.ieee.org/document/7809715,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7809715,Yes,Yes,,Yes,incluido no artigo,N/A,,,,,,,,,,,,,
17,Predicting quality flaws in user-generated content: the case of wikipedia,https://dl.acm.org/doi/10.1145/2348283.2348413,https://dl.acm.org/doi/pdf/10.1145/2348283.2348413,Yes,Yes,,Yes,revisor 3,"User-generated Content Analysis, Information Quality, Wikipedia, Quality Flaw Prediction, One-class Classification",,Appendix + Quality Flaws,,,,,,,,,,,
18,Quality and Importance of Wikipedia Articles in Different Languages,https://link.springer.com/chapter/10.1007/978-3-319-46254-7_50,https://link.springer.com/content/pdf/10.1007/978-3-319-46254-7_50,Yes,Yes,,Yes,revisor 3,"Wikipedia, DBpedia, Information quality, Data quality, WikiRank, Article importance
",,lots,Classical,"Random Forest, at least",,19200,,,,,,,
19,"A jury of your peers: quality, experience and ownership in Wikipedia",https://dl.acm.org/doi/10.1145/1641309.1641332,https://dl.acm.org/doi/pdf/10.1145/1641309.1641332,Yes,No,,Yes,incluido no artigo,"Wikipedia, Peer, Peer Review, WikiWork, Experience, Ownership, Quality",,complex: word persistence,,,,,,,,,,,
20,Automatically Assessing Wikipedia Article Quality by Exploiting Article-Editor Networks,https://link.springer.com/chapter/10.1007/978-3-319-16354-3_64,https://link.springer.com/content/pdf/10.1007/978-3-319-16354-3_64,Yes,No,,Yes,,N/A,,"metric-based,",,,,,,,,,,,
22,Interpolating Quality Dynamics in Wikipedia and Demonstrating the Keilana Effect,https://dl.acm.org/doi/10.1145/3125433.3125475,https://dl.acm.org/doi/pdf/10.1145/3125433.3125475,,,Focus,No,Seems to simply use existing models and analyse results,Wikipedia; Quality; Modeling; Predictive; Interpolation; Methods; Dataset,,,,,,,,,,,,,
23,An end-to-end learning solution for assessing the quality of Wikipedia articles,https://dl.acm.org/doi/10.1145/3125433.3125448,https://dl.acm.org/doi/pdf/10.1145/3125433.3125448,No,Yes,,Yes,incluido no artigo,"Wikipedia, document quality, deep learning, end-to-end learning, Recurrent Neural Network (RNN), Long-Short Term Memory (LSTM)",DL without features,,DL,,,,,,,,,,DL + full-text
24,Quality assessment of Wikipedia articles without feature engineering,https://dl.acm.org/doi/10.1145/2910896.2910917,https://dl.acm.org/doi/pdf/10.1145/2910896.2910917,No,Yes,,Yes,incluido no artigo,"quality assessment, Wikipedia, feature engineering, document representation, deep learning",,,DL,,,,,,,,,,
25,Relating Wikipedia article quality to edit behavior and link structure,https://appliednetsci.springeropen.com/articles/10.1007/s41109-020-00305-y,https://link.springer.com/content/pdf/10.1007/s41109-020-00305-y.pdf,,,Focus,No,revisor 2,"Wikipedia, Edit behavior, Link structure, Article quality, Edit wars, Controversy, Conflict, Semantic edit types",,,,,,,,,,,,,
26,Assessing the quality of information on wikipedia: A deep‐learning approach,https://asistdl.onlinelibrary.wiley.com/doi/10.1002/asi.24210,https://www.researchgate.net/publication/332294515_Assessing_the_quality_of_information_on_wikipedia_A_deep-learning_approach,Yes,Yes,,Yes,incluido no artigo,N/A,,,,,,,,,,,,,
29,Using big data and network analysis to understand Wikipedia article quality,https://www.sciencedirect.com/science/article/pii/S0169023X18300685?via%3Dihub,https://reader.elsevier.com/reader/sd/pii/S0169023X18300685?token=B44D54CF3D38230135AED9524BFFD22BFC9DE31B669C688D97EFE423C332436013F0D154796D42F839540C722AC80208&originRegion=eu-west-1&originCreation=20230130105258,,,Focus,No,"eles falam em features, mas acho que o contexto não é adequado",N/A,,,,,,,,,,,,,
30,Measuring article quality in Wikipedia: Lexical clue model,https://ieeexplore.ieee.org/document/6101286,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6101286,Yes,Yes,,Yes,revisor 3,"Wikipedia, article quality, lexical clue, decision tree",classical + features,Section 3.2,,,,,,,,,,,
31,A Hybrid Model for Quality Assessment of Wikipedia Articles,https://aclanthology.org/U17-1005/,https://aclanthology.org/U17-1005.pdf,Yes,Yes,,Yes,revisor 2,N/A,DL + features,Section 4(.2),,,,,,,,,,,
32,Measuring article quality in Wikipedia using the collaboration network,https://dl.acm.org/doi/10.1145/2808797.2808895,https://dl.acm.org/doi/pdf/10.1145/2808797.2808895,Yes,No,,Yes,"revisor 2. tínhamos excluido por: ""No discussion of ML algorithms, features or metrics"".",N/A,Metric-based,(Complex),,,,,,,,,,,
33,QuWi: quality control in Wikipedia,https://dl.acm.org/doi/10.1145/1526993.1527001,https://dl.acm.org/doi/pdf/10.1145/1526993.1527001,Yes,No,,Yes,based on a previous approach for scientific articles,"Wikipedia, Quality Control, QuWi, Reputation",Metric-based,Section 3.5,,,,,,,,,,,
34,Modelling the Quality of Attributes in Wikipedia Infoboxes,https://link.springer.com/chapter/10.1007/978-3-319-26762-3_27,https://link.springer.com/content/pdf/10.1007/978-3-319-26762-3_27,,,Focus,No,"shows some features, but only evaluates infobox quality","Data quality, Information quality, DBpedia, Wikipedia, Infobox, Data mining, Wikirank
",,,,,,,,,,,,,
35,Towards automatic quality assurance in Wikipedia,https://dl.acm.org/doi/10.1145/1963192.1963196,https://dl.acm.org/doi/pdf/10.1145/1963192.1963196,No,Yes,,Yes,,"Wikipedia, Information Quality, Flaw Detection",Quality flaws,,,,,,,,,,,,
36,What makes a good biography?: multidimensional quality analysis based on wikipedia article feedback data,https://dl.acm.org/doi/10.1145/2566486.2567972,https://dl.acm.org/doi/pdf/10.1145/2566486.2567972,Yes,Yes,,Yes,,N/A,,Section 5,,,,,,,,,,,
38,NwQM: A Neural Quality Assessment Framework for Wikipedia,https://aclanthology.org/2020.emnlp-main.674/,https://aclanthology.org/2020.emnlp-main.674.pdf,No,Yes,,Yes,revisor 2,N/A,,,,,,,,,,,,,
41,History-Based Article Quality Assessment on Wikipedia,https://ieeexplore.ieee.org/document/8367090,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8367090,Yes,Yes,,Yes,revisor 2,"Wikipedia, Information Quality, LSTM",,P.5,,,,,,,,,,,
42,A breakdown of quality flaws in Wikipedia,https://dl.acm.org/doi/10.1145/2184305.2184309,https://dl.acm.org/doi/pdf/10.1145/2184305.2184309,,,Focus,No,More of an analysis of wikipedia,"Quality Flaws, Information Quality, Wikipedia, User-generated Content Analysis",,,,,,,,,,,,,
43,FlawFinder: A Modular System for Predicting Quality Flaws in Wikipedia,https://www.researchgate.net/publication/235982155_FlawFinder_A_Modular_System_for_Predicting_Quality_Flaws_in_Wikipedia,https://ceur-ws.org/Vol-1178/CLEF2012wn-PAN-FerschkeEt2012.pdf,Yes,Yes,,Yes,,N/A,Quality flaws,,,,,,,,,,,,
46,Relative Quality and Popularity Evaluation of Multilingual Wikipedia Articles,https://www.mdpi.com/2227-9709/4/4/43,https://pdfs.semanticscholar.org/a37c/5e68f712724157a4a6824f58a2425a830168.pdf,Yes,No,,Yes,abstract excluído,"Wikipedia, information quality, WikiRank, DBpedia",metric-based,Section 3,,,,,,,,,,,
47,Wikipedia model for collective intelligence: a review of information quality,https://www.inderscienceonline.com/doi/abs/10.1504/IJKL.2009.031199,https://www.researchgate.net/publication/220428468_Wikipedia_model_for_collective_intelligence_a_review_of_information_quality,,,Focus,No,,"Wikipedia, collective intelligence, information quality",,,,,,,,,,,,,
48,A hybrid approach to classifying Wikipedia article quality flaws with feature fusion framework,https://www.sciencedirect.com/science/article/pii/S0957417421005303?via%3Dihub,https://reader.elsevier.com/reader/sd/pii/S0957417421005303?token=5388C4415793DA7AF64CBE513CD8B789A104B546D63754CE10326DECA64378FAADD906AE25B606164B3F69EC4FA003F6&originRegion=eu-west-1&originCreation=20230130110039,Yes,Yes,,Yes,,"Quality flaw, Deep learning, Fusion framework, Text classification",DL for quality-flaws,,,,,,,,,,,,
53,Wikipedia and Westminster: Quality and Dynamics of Wikipedia Pages about UK Politicians,https://dl.acm.org/doi/10.1145/3372923.3404817,https://dl.acm.org/doi/pdf/10.1145/3372923.3404817,,,Focus,No,,"wikipedia, politics, editors, polarisation",,,,,,,,,,,,,
54,Network analysis of user generated content quality in Wikipedia,https://www.emerald.com/insight/content/doi/10.1108/OIR-03-2011-0182/full/html,https://www.emerald.com/insight/content/doi/10.1108/OIR-03-2011-0182/full/pdf?title=network-analysis-of-user-generated-content-quality-in-wikipedia,,,Focus,No,,"Web sites, Wikis, Social media, Wikipedia, Social computing, Quality, Network analysis, Structural holes, Hubs",,,,,,,,,,,,,
57,Knowledge categorization affects popularity and quality of Wikipedia articles,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0190674,https://pdfs.semanticscholar.org/fa1d/b666c361fd03226c8e7bd81c5eb515719ac6.pdf,,,Focus,No,,N/A,,,,,,,,,,,,,
58,On improving wikipedia search using article quality,https://dl.acm.org/doi/10.1145/1316902.1316926,https://dl.acm.org/doi/pdf/10.1145/1316902.1316926,Yes,No,,Yes,,"Wikipedia, collaborative authoring, quality-aware search",metric-based,Section 4 (peer review),,,,,,,,,,,
59,Computational Trust in Web Content Quality: A Comparative Evalutation on the Wikipedia Project,https://arrow.tudublin.ie/scschcomart/25/,https://arrow.tudublin.ie/cgi/viewcontent.cgi?article=1031&context=scschcomart&httpsredir=1&referer=,,,Focus,No,"texto excluído: Discusses subjective trustworthiness ideals, not quality measures.",,,,,,,,,,,,,,
60,Mutual evaluation of editors and texts for assessing quality of Wikipedia articles,https://dl.acm.org/doi/10.1145/2462932.2462956,https://dl.acm.org/doi/pdf/10.1145/2462932.2462956,Yes,No,,Yes,Mutual evaluation,"Wikipedia, Quality, Peer Review, Edit History, Link Analysis",metric-based,Section 3.3,,,,,,,,,,,
61,Mining the Factors Affecting the Quality of Wikipedia Articles,https://ieeexplore.ieee.org/document/5572324,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5572324,Yes,Yes,,Yes,,"Web2.0, Wikipedia, Information Quality, Neural Network, Quality Assessment",DL/features/metrics,Fig 1,,,,,,,,,,,
62,Measures for Quality Assessment of Articles and Infoboxes in Multilingual Wikipedia,https://link.springer.com/chapter/10.1007/978-3-030-04849-5_53,https://link.springer.com/content/pdf/10.1007/978-3-030-04849-5_53,Yes,No,,Yes,,"Wikipedia, Data quality, Quality measures, DBpedia Wikidata, Quality dimensions, Web 2.0, Encyclopedia",suggests features,Section 3,,,,,,,,,,,
64,Classifying Wikipedia Article Quality With Revision History Networks,https://dl.acm.org/doi/10.1145/3412569.3412581,https://dl.acm.org/doi/pdf/10.1145/3412569.3412581,Yes,Yes,,Yes,revisor 2,"Wikipedia, network analysis, quantitative methods, article quality, classification, collaboration",,,,,,,,,,,,,
65,WikipediaViz: Conveying article quality for casual Wikipedia readers,https://ieeexplore.ieee.org/document/5429611/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5429611,Yes,No,,Yes,texto excluido: Focus on quality visualization instead of automatic assessment.,"Wikipedia, network analysis, quantitative methods, article quality, classification, collaboration",feature visualization,,,,,,,,,,,,
66,Multilingual Ranking of Wikipedia Articles with Quality and Popularity Assessment in Different Topics,https://www.mdpi.com/2073-431X/8/3/60,https://pdfs.semanticscholar.org/d5b3/f3e9403eda8b45184951b269ee7997452c6b.pdf,Yes,No,,Yes,"revisor 2, 3","Wikipedia; Information quality, Popularity, Topics identification, Wikidata, DBpedia, WikiRank",metric-based. visualization,Section 4,,,,,,,,,,,
67,Automatically assessing the quality of Wikipedia contents,https://dl.acm.org/doi/10.1145/3297280.3297357,https://dl.acm.org/doi/pdf/10.1145/3297280.3297357,Yes,Yes,,Yes,incluido no artigo,"Information Quality, Social Media, Machine Learning, Wikipedia",features + classical,,,,,,,,,,,,
69,Wisdom of crowds: the effect of participant composition and contribution behavior on Wikipedia article quality,https://www.emerald.com/insight/content/doi/10.1108/JKM-08-2019-0416/full/html,https://www.emerald.com/insight/content/doi/10.1108/JKM-08-2019-0416/full/pdf?title=wisdom-of-crowds-the-effect-of-participant-composition-and-contribution-behavior-on-wikipedia-article-quality,,,Focus,No,Studies correlation,"Online community, Wikipedia, Wisdom of crowds, Cox regression, Knowledge collaboration",,,,,,,,,,,,,
70,Quality Evaluation of Wikipedia Articles through Edit History and Editor Groups,https://link.springer.com/chapter/10.1007/978-3-642-20291-9_20,https://link.springer.com/content/pdf/10.1007/978-3-642-20291-9_20.pdf,Yes,Yes,,Yes,,"Wikipedia, quality evaluation, web mining, edit network, web trust","metric-based, ML + feats",S. 4,,,,,,,,,,,
71,Application of SEO Metrics to Determine the Quality of Wikipedia Articles and Their Sources,https://link.springer.com/chapter/10.1007/978-3-319-99972-2_11,https://link.springer.com/content/pdf/10.1007/978-3-319-99972-2_11,Yes,No,,Yes,,"Data quality, Wikipedia, References, SEO, SISTRIX Sources, Visibility Index, Search engine",metric-based,,,,,,,,,,,,
72,Diversity of editors and teams versus quality of cooperative work: experiments on wikipedia,https://link.springer.com/article/10.1007/s10844-016-0428-1,https://link.springer.com/content/pdf/10.1007/s10844-016-0428-1,,,Focus,No,,"Diversity of interest, Team diversity, Wikipedia, Article quality, Open collaboration, Machine learning",,,,,,,,,,,,,
74,A deep learning-based quality assessment model of collaboratively edited documents: A case study of Wikipedia,https://journals.sagepub.com/doi/10.1177/0165551519877646,https://journals.sagepub.com/doi/pdf/10.1177/0165551519877646,Yes,Yes,,Yes,incluido no artigo,"Deep learning, feature framework, information quality assessment, Wikipedia",DL + Features,S.3,,,,,,,,,,,
75,Overview of the 1th International Competition on Quality Flaw Prediction in Wikipedia,https://www.semanticscholar.org/paper/d87a2a5d19419259895a23ff0003092a094518f2,https://ceur-ws.org/Vol-1178/CLEF2012wn-PAN-AnderkaEt2012.pdf,No,No,,No,,N/A,,,,,,,,,,,,,
76,Automatically Labeling Low Quality Content on Wikipedia By Leveraging Patterns in Editing Behaviors,https://dl.acm.org/doi/10.1145/3479503,https://dl.acm.org/doi/pdf/10.1145/3479503,didn't read,Yes,,Yes,revisor 2,"Wikipedia, Content Labeling, Machine Learning",didnt read,,,,,,,,,,,,
78,Article quality classification on Wikipedia: introducing document embeddings and content features,https://dl.acm.org/doi/10.1145/3306446.3340831,https://dl.acm.org/doi/pdf/10.1145/3306446.3340831,didn't read,Yes,,Yes,revisor 2,"Wikipedia, Collaborative Information Systems, Information Quality, Classification, Gradient Boosted Trees",didnt read,,,,,,,,,,,,
79,Assessing quality score of Wikipedia article using mutual evaluation of editors and texts,https://dl.acm.org/doi/10.1145/2505515.2505610,https://dl.acm.org/doi/pdf/10.1145/2505515.2505610,Yes,No,,Yes,Mutual evaluation,"Wikipedia, Quality, Peer Review, Vandalism, Edit History",metric-based,,,,,,,,,,,,
80,Measuring the Quality of Edits to Wikipedia,https://dl.acm.org/doi/10.1145/2641580.2641621,https://dl.acm.org/doi/pdf/10.1145/2641580.2641621,,,Manual. Focus,No,"texto excluido: ""Measures quality of edits, not the articles. Does not propose any metrics or algorithms, and validates it with human raters""","Wikipedia, Peer, Peer Review, WikiWork, Experience, Ownership, Quality, Collaboration
",,,,,,,,,,,,,
81,Mining and Predicting Temporal Patterns in the Quality Evolution of Wikipedia Articles,https://journals.aom.org/doi/10.5465/AMBPP.2018.13746abstract,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1569&context=hicss-53,,,Focus,No,,N/A,,,,,,,,,,,,,
82,Quality Assessment of Wikipedia Articles Using h-index,https://www.jstage.jst.go.jp/article/ipsjjip/23/1/23_22/_article,https://www.jstage.jst.go.jp/article/ipsjjip/23/1/23_22/_pdf,Yes,No,,Yes,revisor 2,"Wikipedia, h-index, peer-review, quality",metric-based,,,,,,,,,,,,
83,WikiLyzer: Interactive Information Quality Assessment in Wikipedia,https://dl.acm.org/doi/10.1145/3025171.3025201,https://dl.acm.org/doi/pdf/10.1145/3025171.3025201,Yes,No,,Yes,revisor 2,"Text Analytics, Text Quality, User Generated Content, Wikipedia, Visual Analytics",metric visualization,,,,,,,,,,,,
84,"‘WP2Cochrane’, a tool linking Wikipedia to the Cochrane Library: Results of a bibliometric analysis evaluating article quality and importance",https://journals.sagepub.com/doi/10.1177/1460458219892711,https://journals.sagepub.com/doi/pdf/10.1177/1460458219892711,,,Focus,No,,"Bibliometrics [MeSH], Encyclopedias as Topic [MeSH], Internet, knowledge translation, open knowledge, peer review, Wikipedia",,,,,,,,,,,,,
85,An Edit-centric Approach for Wikipedia Article Quality Assessment,https://aclanthology.org/D19-5550/,https://aclanthology.org/D19-5550.pdf,Yes,No,,Yes,revisor 2,N/A,metric-based,,,,,,,,,,,,
87,StRE: Self Attentive Edit Quality Prediction in Wikipedia,https://aclanthology.org/P19-1387/,https://aclanthology.org/P19-1387.pdf,No,Yes,,Yes,,N/A,DL without features,,,,,,,,,,,,
89,Quality assessment of wikipedia articles: a deep learning approach,https://dl.acm.org/doi/10.1145/2996442.2996447,https://dl.acm.org/doi/pdf/10.1145/2996442.2996447,No,Yes,,Yes,,N/A,DL without features,,,,,,,,,,,,
90,Evaluating the trustworthiness of Wikipedia articles through quality and credibility,https://dl.acm.org/doi/10.1145/1641309.1641349,https://dl.acm.org/doi/pdf/10.1145/1641309.1641349,Yes,No,,Yes,,"Wikipedia, social media, trust, trustworthiness, quality",metric-based,,,,,,,,,,,,
92,A matter of words: NLP for quality evaluation of Wikipedia medical articles,https://link.springer.com/chapter/10.1007/978-3-319-38791-8_31,https://link.springer.com/content/pdf/10.1007/978-3-319-38791-8_31,Yes,Yes,,Yes,revisor 2,N/A,Classical + features,,,,,,,,,,,,
94,Indicator of quality for environmental articles on Wikipedia at the higher education level,https://journals.sagepub.com/doi/10.1177/0165551519888607,https://journals.sagepub.com/doi/pdf/10.1177/0165551519888607,,,Focus,No,,"Environmental articles, Indicators, information quality, quality of Wikipedia, Wikipedia
",,,,,,,,,,,,,
95,Mining team characteristics to predict Wikipedia article quality,https://dl.acm.org/doi/10.1145/2957792.2971802,https://dl.acm.org/doi/pdf/10.1145/2957792.2971802,Yes,Yes,,Yes,,"Wikipedia, Epistemic community, Article Quality, Teaming",Classical + features,,,,,,,,,,,,
96,Estimating the Quality of Articles in Russian Wikipedia Using the Logical-Linguistic Model of Fact Extraction,https://link.springer.com/chapter/10.1007/978-3-319-59336-4_3,https://link.springer.com/content/pdf/10.1007/978-3-319-59336-4_3,,,Focus,No,texto excluído: Based on fact extraction and less on quality metrics.,"Russian Wikipedia, Article quality, Fact extraction, Logical equations",metric-based,,,,,,,,,,,,
97,"Quality Change: Norm or Exception? Measurement, Analysis and Detection of Quality Change in Wikipedia",https://dl.acm.org/doi/10.1145/3512959,https://dl.acm.org/doi/pdf/10.1145/3512959,Yes,didn't check,,Yes,revisor 2,"Wikipedia, Quality classes, Change point detection, Unsupervised approach",,S. 5.1,,,,,,,,,,,
100,Quality flaw prediction in Spanish Wikipedia: A case of study with verifiability flaws,https://www.sciencedirect.com/science/article/pii/S0306457317309329?via%3Dihub,https://reader.elsevier.com/reader/sd/pii/S0306457317309329?token=932F3ED2D2166622793C94EF06681099A807E81123D2C8A2103641E6DFA3906BCFCA8A59AF7D631C3F1183491945618F&originRegion=eu-west-1&originCreation=20230130113926,Yes,Yes,,Yes,quality flaws,"Information quality, Quality flaw prediction, Semi-supervised learning, Supervised learning, Wikipedia",classical + features,Table 1,,,,,,,,,,,
101,Structural Analysis of Wikigraph to Investigate Quality Grades of Wikipedia Articles,https://dl.acm.org/doi/10.1145/3442442.3452345,https://dl.acm.org/doi/pdf/10.1145/3442442.3452345,Yes,Yes,,Yes,,"Wikipedia, Quality estimation, Wikigraph, Network analysis",classical + features,S. 3.2,,,,,,,,,,,
102,Utilizing the Wikidata System to Improve the Quality of Medical Content in Wikipedia in Diverse Languages: A Pilot Study,https://pubmed.ncbi.nlm.nih.gov/25944105/,,,,No access,No,,,,,,,,,,,,,,,
106,Relative Quality Assessment of Wikipedia Articles in Different Languages Using Synthetic Measure,https://link.springer.com/chapter/10.1007/978-3-319-69023-0_24,https://www.researchgate.net/publication/320446880_Relative_Quality_Assessment_of_Wikipedia_Articles_in_Different_Languages_Using_Synthetic_Measure,Yes,No,,Yes,,"Wikipedia, article quality, synthetic measure, wikirank",suggest features,S. 3,,,,,,,,,,,
107,On the Use of Reliable-Negatives Selection Strategies in the PU Learning Approach for Quality Flaws Prediction in Wikipedia,https://ieeexplore.ieee.org/document/6974851,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6974851,,,Focus,No,,N/A,,,,,,,,,,,,,
108,Measuring Wikipedia Article Quality in One Dimension by Extending ORES with Ordinal Regression,https://dl.acm.org/doi/10.1145/3479986.3479991,https://dl.acm.org/doi/pdf/10.1145/3479986.3479991,No,No,,No,"texto excluido: Does not discuss article features or algorithms, focuses on disproving the theory 'different levels of, quality are evenly spaced from one another'","sociotechnical systems, measurement, statistics, quality, machine learning, peer production, Wikipedia, online communities, methods, datasets",,,,,,,,,,,,,
109,Enrichment of Information in Multilingual Wikipedia Based on Quality Analysis,https://link.springer.com/chapter/10.1007/978-3-319-69023-0_19,http://lewoniewski.info/files/bis2017_wiki_enrichment.pdf,Yes,No,,Yes,,"Wikipedia, article quality, infobox, DBpedia",suggests features,Figure 2,,,,,,,,,,,
111,GreenWiki: a tool to support users' assessment of the quality of Wikipedia articles,https://dl.acm.org/doi/10.1145/1998076.1998190,https://dl.acm.org/doi/pdf/10.1145/1998076.1998190,Yes,No,,Yes,,"Quality Assessment, Wikipedia, Quality Metrics",Visualization,,,,,,,,,,,,
112,Social-collaborative determinants of content quality in online knowledge production systems: comparing Wikipedia and Stack Overflow,https://link.springer.com/article/10.1007/s13278-018-0512-3,https://link.springer.com/content/pdf/10.1007/s13278-018-0512-3.pdf,No,No,,No,,"Wikipedia, Stack Overflow, Unevenness, Elite stickiness, Quality of Content",,,,,,,,,,,,,
114,An Empirical Study to Predict the Quality of Wikipedia Articles,https://link.springer.com/chapter/10.1007/978-3-030-16187-3_47,https://link.springer.com/content/pdf/10.1007/978-3-030-16187-3_47,Yes,No,,Yes,,"Wikipedia, Correlation, Linear regression, Article length, Number of edits, Article age",suggest features + find correlation,,,,,,,,,,,,
