id,databases,title,year,authors,publication_type,published_in,num_references,num_citations,abstract,keywords,pdf,url
18,"Google Scholar, Web of Science",Quality and Importance of Wikipedia Articles in Different Languages,2016,Włodzimierz Lewoniewski; Krzysztof Węcel; W. Abramowicz,Conference,"International Conference on Information and Software Technologies, pp. 613-624",23,26,"This article aims to analyse the importance of the Wikipedia articles in different languages (English, French, Russian, Polish) and the impact of the importance on the quality of articles. Based on the analysis of literature and our own experience we collected measures related to articles, specifying various aspects of quality that will be used to build the models of articles’ importance. For each language version, the influential parameters are selected that may allow automatic assessment of the validity of the article. Links between articles in different languages offer opportunities in terms of comparison and verification of the quality of information provided by various Wikipedia communities. Therefore, the model can be used not only for a relative assessment of the content of the whole article, but also for a relative assessment of the quality of data contained in their structural parts, the so-called infoboxes.",,https://link.springer.com/content/pdf/10.1007/978-3-319-46254-7_50,https://link.springer.com/chapter/10.1007/978-3-319-46254-7_50
19,"ACM, Google Scholar","A jury of your peers: quality, experience and ownership in Wikipedia",2009,Aaron L Halfaker; A. Kittur; R. Kraut; J. Riedl,Journal,N/A,24,104,"Wikipedia is a highly successful example of what mass collaboration in an informal peer review system can accomplish. In this paper, we examine the role that the quality of the contributions, the experience of the contributors and the ownership of the content play in the decisions over which contributions become part of Wikipedia and which ones are rejected by the community. We introduce and justify a versatile metric for automatically measuring the quality of a contribution. We find little evidence that experience helps contributors avoid rejection. In fact, as they gain experience, contributors are even more likely to have their work rejected. We also find strong evidence of ownership behaviors in practice despite the fact that ownership of content is discouraged within Wikipedia.",,https://dl.acm.org/doi/pdf/10.1145/1641309.1641332,https://dl.acm.org/doi/10.1145/1641309.1641332
20,Google Scholar,Automatically Assessing Wikipedia Article Quality by Exploiting Article-Editor Networks,2015,Xinyi Li; Jintao Tang; Ting Wang; Zhunchen Luo; M. de Rijke,Conference,"European Conference on Information Retrieval, pp. 574-580",16,37,"We consider the problem of automatically assessing Wikipedia article quality. We develop several models to rank articles by using the editing relations between articles and editors. First, we create a basic model by modeling the article-editor network. Then we design measures of an editor’s contribution and build weighted models that improve the ranking performance. Finally, we use a combination of featured article information and the weighted models to obtain the best performance. We find that using manual evaluation to assist automatic evaluation is a viable solution for the article quality assessment task on Wikipedia",,https://link.springer.com/content/pdf/10.1007/978-3-319-16354-3_64,https://link.springer.com/chapter/10.1007/978-3-319-16354-3_64
23,"ACM, Google Scholar",An end-to-end learning solution for assessing the quality of Wikipedia articles,2017,Quang-Vinh Dang; C. Ignat,Conference,Proceedings of the 13th International Symposium on Open Collaboration,60,28,"Wikipedia is considered as the largest knowledge repository in the history of humanity and plays a crucial role in modern daily life. Assigning the correct quality class to Wikipedia articles is an important task in order to provide guidance for both authors and readers of Wikipedia. The manual review cannot cope with the editing speed of Wikipedia. An automatic classification is required to classify the quality of Wikipedia articles. Most existing approaches rely on traditional machine learning with manual feature engineering, which requires a lot of expertise and effort. Furthermore, it is known that there is no general perfect feature set because information leak always occurs in feature extraction phase. Also, for each language of Wikipedia, a new feature set is required. In this paper, we present an approach relying on deep learning for quality classification of Wikipedia articles. Our solution relies on Recurrent Neural Networks (RNN) which is an end-to-end learning technique that eliminates disadvantages of feature engineering. Our approach learns directly from raw data without human intervention and is language-neutral. Experimental results on English, French and Russian Wikipedia datasets show that our approach outperforms state-of-the-art solutions.",,https://dl.acm.org/doi/pdf/10.1145/3125433.3125448,https://dl.acm.org/doi/10.1145/3125433.3125448
24,"ACM, Google Scholar, Web of Science",Quality assessment of Wikipedia articles without feature engineering,2016,Quang-Vinh Dang; C. Ignat,Conference,"2016 IEEE/ACM Joint Conference on Digital Libraries (JCDL), pp. 27-30",25,54,"As Wikipedia became the largest human knowledge repository, quality measurement of its articles received a lot of attention during the last decade. Most research efforts focused on classification of Wikipedia articles quality by using a different feature set. However, so far, no “golden feature set” was proposed. In this paper, we present a novel approach for classifying Wikipedia articles by analysing their content rather than by considering a feature set. Our approach uses recent techniques in natural language processing and deep learning, and achieved a comparable result with the state-of-the-art.",,https://dl.acm.org/doi/pdf/10.1145/2910896.2910917,https://dl.acm.org/doi/10.1145/2910896.2910917
26,"ACM, Google Scholar, Web of Science",Assessing the quality of information on wikipedia: A deep‐learning approach,2020,Ping Wang; Xiaodan Li,Journal,"Journal of the Association for Information Science and Technology, 71",73,18,"Currently, web document repositories have been collaboratively created and edited. One of these repositories, Wikipedia, is facing an important problem: assessing the quality of Wikipedia. Existing approaches exploit techniques such as statistical models or machine leaning algorithms to assess Wikipedia article quality. However, existing models do not provide satisfactory results. Furthermore, these models fail to adopt a comprehensive feature framework. In this article, we conduct an extensive survey of previous studies and summarize a comprehensive feature framework, including text statistics, writing style, readability, article structure, network, and editing history. Selected state‐of‐the‐art deep‐learning models, including the convolutional neural network (CNN), deep neural network (DNN), long short‐term memory (LSTMs) network, CNN‐LSTMs, bidirectional LSTMs, and stacked LSTMs, are applied to assess the quality of Wikipedia. A detailed comparison of deep‐learning models is conducted with regard to different aspects: classification performance and training performance. We include an importance analysis of different features and feature sets to determine which features or feature sets are most effective in distinguishing Wikipedia article quality. This extensive experiment validates the effectiveness of the proposed model.",,https://www.researchgate.net/publication/332294515_Assessing_the_quality_of_information_on_wikipedia_A_deep-learning_approach,https://asistdl.onlinelibrary.wiley.com/doi/10.1002/asi.24210
30,Google Scholar,Measuring article quality in Wikipedia: Lexical clue model,2011,Yanxiang Xu; Tiejian Luo,Conference,"2011 3rd Symposium on Web Society, pp. 141-146",16,33,"Wikipedia is the most entry-abundant on-line encyclopedia. Some studies published by Nature proved that the scientific entries in Wikipedia are of good quality comparable to those in the Encyclopedia Britannica which are mainly maintained by experts. But the manual partition of the articles in Wikipedia from a WikiProject implies that high-quality articles are usually reached grade by grade via being repeatedly revised. So many work address to automatically measuring the article quality in Wikipedia based on some assumption of the relationship between the article quality and contributors' reputations, view behaviors, article status, inter-article link, or so on. In this paper, a lexical clue based measuring method is proposed to assess article quality in Wikipedia. The method is inspired the idea that the good articles have more regular statistic features on lexical usage than the primary ones due to the more revise by more people. We select 8 lexical features derived from the statistic on word usages in articles as the factors that can reflect article quality in Wikipedia. A decision tree is trained based on the lexical clue model. Using the decision tree, our experiments on a well-labeled collection of 200 Wikipedia articles shows that our method has more than 83% precise and recall.",,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6101286,https://ieeexplore.ieee.org/document/6101286
31,Google Scholar,A Hybrid Model for Quality Assessment of Wikipedia Articles,2017,Aili Shen; Jianzhong Qi; Timothy Baldwin,Conference,"Australasian Language Technology Association Workshop, pp. 43-52",44,26,"The task of document quality assessment is a highly complex one, which draws on analysis of aspects including linguistic content, document structure, fact correctness, and community norms. We explore the task in the context of a Wikipedia article assessment task, and propose a hybrid approach combining deep learning with features proposed in the literature. Our method achieves 6.5% higher accuracy than the state of the art in predicting the quality classes of English Wikipedia articles over a novel dataset of around 60k Wikipedia articles. We also discuss limitations with this task setup, and possible directions for establishing more robust document quality assessment evaluations.",,https://aclanthology.org/U17-1005.pdf,https://aclanthology.org/U17-1005/
32,"ACM, Google Scholar, Web of Science",Measuring article quality in Wikipedia using the collaboration network,2015,Baptiste de La Robertie; Y. Pitarch; O. Teste,Conference,"2015 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM), pp. 464-471",17,32,"Collaboratively edited articles such as in Wikipedia suffer from well-identified problems regarding their quality, e.g., information accuracy, reputability of third-party sources, vandalism. Due to the huge number of articles and the intensive edit rate, the manual evaluation of article content quality is inconceivable. In this paper, we tackle the problem of automatically establishing the quality of Wikipedia articles. Evidences are shown to consider the interactions between authors and articles to assess the quality score. Collaborations between authors and reviewers are also considered to reinforce the discriminative process. This work gives a generic formulation of the Mutual Reinforcement principle held between articles quality and authors authority and take explicitly advantage of the co-edits graph generated by individuals. Experiments conducted on a set of representative data from Wikipedia show the effectiveness of our approach.",,https://dl.acm.org/doi/pdf/10.1145/2808797.2808895,https://dl.acm.org/doi/10.1145/2808797.2808895
33,"ACM, Google Scholar, Web of Science",QuWi: quality control in Wikipedia,2009,Alberto Cusinato; V. D. Mea; F. Salvatore; S. Mizzaro,Conference,"Workshop on Information Credibility on the Web, pp. 27-34",19,24,"We propose and evaluate QuWi (Quality in Wikipedia), a framework for quality control in Wikipedia. We build upon a previous proposal by Mizzaro [11], who proposed a method for substituting and/or complementing peer review in scholarly publishing. Since articles in Wikipedia are never finished, and their authors change continuously, we define a modified algorithm that takes into account the different domain, with particular attention to the fact that authors contribute identifiable pieces of information that can be further modified by other authors. The algorithm assigns quality scores to articles and contributors. The scores assigned to articles can be used, e.g., to let the reader understand how reliable are the articles he or she is looking at, or to help contributors in identifying low quality articles to be enhanced. The scores assigned to users measure the average quality of their contributions to Wikipedia and can be used, e.g., for conflict resolution policies based on the quality of involved users. Our proposed algorithm is experimentally evaluated by analyzing the obtained quality scores on articles for deletion and featured articles, also on six temporal Wikipedia snapshots. Preliminary results demonstrate that the proposed algorithm seems to appropriately identify high and low quality articles, and that high quality authors produce more long-lived contributions than low quality authors.",,https://dl.acm.org/doi/pdf/10.1145/1526993.1527001,https://dl.acm.org/doi/10.1145/1526993.1527001
35,"ACM, Google Scholar",Towards automatic quality assurance in Wikipedia,2011,Maik Anderka; Benno Stein; Nedim Lipka,Conference,Proceedings of the 20th international conference companion on World wide web,13,28,"Featured articles in Wikipedia stand for high information quality, and it has been found interesting to researchers to analyze whether and how they can be distinguished from ""ordinary"" articles. Here we point out that article discrimination falls far short of writer support or automatic quality assurance: Featured articles are not identified, but are made. Following this motto we compile a comprehensive list of information quality flaws in Wikipedia, model them according to the latest state of the art, and devise one-class classification technology for their identification.",,https://dl.acm.org/doi/pdf/10.1145/1963192.1963196,https://dl.acm.org/doi/10.1145/1963192.1963196
36,"ACM, Google Scholar, Web of Science",What makes a good biography?: multidimensional quality analysis based on wikipedia article feedback data,2014,Lucie Flekova; Oliver Ferschke; Iryna Gurevych,Conference,Proceedings of the 23rd international conference on World wide web,47,25,"With more than 22 million articles, the largest collaborative knowledge resource never sleeps, experiencing several article edits every second. Over one fifth of these articles describes individual people, the majority of which are still alive. Such articles are, by their nature, prone to corruption and vandalism. Manual quality assurance by experts can barely cope with this massive amount of data. Can it be effectively replaced by feedback from the crowd? Can we provide meaningful support for quality assurance with automated text processing techniques? Which properties of the articles should then play a key role in the machine learning algorithms and why? In this paper, we study the user-perceived quality of Wikipedia articles based on a novel Wikipedia user feedback dataset. In contrast to previous work on quality assessment which mostly relied on judgements of active Wikipedia authors, we analyze ratings of ordinary Wikipedia users along four quality dimensions (Complete, Well written, Trustworthy and Objective). We first present an empirical analysis of the novel dataset with over 36 million Wikipedia article ratings. We then select a subset of biographical articles and perform classification experiments to predict their quality ratings along each of the dimensions, exploring multiple linguistic, surface and network properties of the rated articles. Additionally, we study the classification performance and differences for the biographies of living and dead people as well as those for men and women. We demonstrate the effectiveness of our approach by the F-scores of 0.94, 0.89, 0.73, and 0.73 for the dimensions Complete, Well written, Trustworthy, and Objective. Based on the results, we believe that the quality assessment of big textual data can be effectively supported by current text classification and language processing tools.",,https://dl.acm.org/doi/pdf/10.1145/2566486.2567972,https://dl.acm.org/doi/10.1145/2566486.2567972
38,"Google Scholar, Web of Science",NwQM: A Neural Quality Assessment Framework for Wikipedia,2020,Bhanu Prakash Reddy Guda; Sasi Bhusan; Soumya Sarkar; Animesh Mukherjee,Conference,"Conference on Empirical Methods in Natural Language Processing, pp. 8396-8406",40,5,"Millions of people irrespective of socioeconomic and demographic backgrounds, depend on Wikipedia articles everyday for keeping themselves informed regarding popular as well as obscure topics. Articles have been categorized by editors into several quality classes, which indicate their reliability as encyclopedic content. This manual designation is an onerous task because it necessitates profound knowledge about encyclopedic language, as well navigating circuitous set of wiki guidelines. In this paper we propose Neural wikipedia QualityMonitor (NwQM), a novel deep learning model which accumulates signals from several key information sources such as article text, meta data and images to obtain improved Wikipedia article representation. We present comparison of our approach against a plethora of available solutions and show 8% improvement over state-of-the-art approaches with detailed ablation studies.",,https://aclanthology.org/2020.emnlp-main.674.pdf,https://aclanthology.org/2020.emnlp-main.674/
41,"Google Scholar, Web of Science",History-Based Article Quality Assessment on Wikipedia,2018,Shiyue Zhang; Zheng Hu; Chunhong Zhang; K. Yu,Conference,"2018 IEEE International Conference on Big Data and Smart Computing (BigComp), pp. 1-8",30,12,"Wikipedia is widely considered as the biggest encyclopedia on Internet. Quality assessment of articles on Wikipedia has been studied for years. Conventional methods addressed this task by feature engineering and statistical machine learning algorithms. However, manually defined features are difficult to represent the long edit history of an article. Recently, researchers proposed an end-to-end neural model which used a Recurrent Neural Network(RNN) to learn the representation automatically. Although RNN showed its power in modeling edit history, the end-to-end method is time and resource consuming. In this paper, we propose a new history-based method to represent an article. We also take advantage of an RNN to handle the long edit history, but we do not abandon feature engineering. We still represent each revision of an article by manually defined features. This combination of deep neural model and feature engineering enables our model to be both simple and effective. Experiments demonstrate our model has better or comparable performance than previous works, and has the potential to work as a real-time service. Plus, we extend our model to do quality prediction.",,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8367090,https://ieeexplore.ieee.org/document/8367090
43,Google Scholar,FlawFinder: A Modular System for Predicting Quality Flaws in Wikipedia,2012,Oliver Ferschke; Iryna Gurevych; M. Rittberger,Conference,"Conference and Labs of the Evaluation Forum, ",30,30,"With over 23 million articles in 285 languages, Wikipedia is the largest free knowledge base on the web. Due to its open nature, everybody is allowed to access and edit the contents of this huge encyclopedia. As a downside of this open access policy, quality assessment of the content becomes a critical issue and is hardly manageable without computational assistance. In this paper, we present FlawFinder, a modular system for automatically predicting quality flaws in unseen Wikipedia articles. It competed in the inaugural edition of the Quality Flaw Prediction Task at the PAN Challenge 2012 and achieved the best precision of all systems and the second place in terms of recall and F1-score.",,https://ceur-ws.org/Vol-1178/CLEF2012wn-PAN-FerschkeEt2012.pdf,https://www.researchgate.net/publication/235982155_FlawFinder_A_Modular_System_for_Predicting_Quality_Flaws_in_Wikipedia
46,"Google Scholar, Web of Science",Relative Quality and Popularity Evaluation of Multilingual Wikipedia Articles,2017,Włodzimierz Lewoniewski; Krzysztof Węcel; W. Abramowicz,Journal,"Informatics, 4, pp. 43",27,32,"Despite the fact that Wikipedia is often criticized for its poor quality, it continues to be one of the most popular knowledge bases in the world. Articles in this free encyclopedia on various topics can be created and edited in about 300 different language versions independently. Our research has showed that in language sensitive topics, the quality of information can be relatively better in the relevant language versions. However, in most cases, it is difficult for the Wikipedia readers to determine the language affiliation of the described subject. Additionally, each language edition of Wikipedia can have own rules in the manual assessing of the content’s quality. There are also differences in grading schemes between language versions: some use a 6–8 grade system to assess articles, and some are limited to 2–3. This makes automatic quality comparison of articles between various languages a challenging task, particularly if we take into account a large number of unassessed articles; some of the Wikipedia language editions have over 99% of articles without a quality grade. The paper presents the results of a relative quality and popularity assessment of over 28 million articles in 44 selected language versions. Comparative analysis of the quality and the popularity of articles in popular topics was also conducted. Additionally, the correlation between quality and popularity of Wikipedia articles of selected topics in various languages was investigated. The proposed method allows us to find articles with information of better quality that can be used to automatically enrich other language editions of Wikipedia.",,https://pdfs.semanticscholar.org/a37c/5e68f712724157a4a6824f58a2425a830168.pdf,https://www.mdpi.com/2227-9709/4/4/43
